Beneficiary_ID,Age,Sex,Region,Income_Monthly,Family_Size,Employment_Status,Has_Disability,Previous_Aid,Aid_Type_Applied,Eligible,Eligible_Label
B001,23,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B002,34,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B003,45,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B004,31,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B005,29,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B006,52,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B007,41,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B008,36,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B009,27,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B010,48,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B011,23,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B012,34,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B013,45,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B014,31,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B015,29,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B016,52,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B017,41,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B018,36,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B019,27,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B020,48,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B021,23,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B022,34,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B023,45,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B024,31,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B025,29,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B026,52,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B027,41,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B028,36,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B029,27,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B030,48,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B031,23,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B032,34,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B033,45,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B034,31,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B035,29,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B036,52,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B037,41,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B038,36,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B039,27,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B040,48,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B041,23,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B042,34,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B043,45,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B044,31,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B045,29,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
B046,52,FEMALE,NCR,5000,5,UNEMPLOYED,NO,NONE,AICS,YES,1
B047,41,MALE,REGION III,12000,3,EMPLOYED,NO,AICS,EDUCATIONAL ASSISTANCE,NO,0
B048,36,FEMALE,REGION IV-A,8000,6,PART-TIME,YES,MEDICAL AID,RED CARD,YES,1
B049,27,MALE,REGION V,15000,4,EMPLOYED,NO,EDUCATIONAL ASSISTANCE,SEA,NO,0
B050,48,FEMALE,REGION VI,6000,7,UNEMPLOYED,NO,NONE,AICS,YES,1
